Filename,EventNum,GT ICs,GT FOs,IMU ICs,IMU FOs,GTStrideTime,IMUStrideTime,GTStanceTime,IMUStanceTime,GTSwingTime,IMUSwingTime
TF_01_0028.c3d,Event1,238.0,302.0,238.0,300.0,106.0,105.0,64.0,62.0,42.0,43.0
TF_01_0028.c3d,Event2,290.0,352.0,291.0,351.0,112.0,105.0,62.0,60.0,50.0,45.0
TF_01_0028.c3d,Event6,510.0,569.0,505.0,567.0,101.0,109.0,59.0,62.0,42.0,47.0
TF_01_0028.c3d,Event7,558.0,624.0,559.0,623.0,,,66.0,64.0,,
TF_01_0028.c3d,Event8,611.0,,614.0,,,,,,,
TF_01_0029.c3d,Event1,226.0,290.0,229.0,294.0,107.0,107.0,64.0,65.0,43.0,42.0
TF_01_0029.c3d,Event2,277.0,341.0,283.0,342.0,109.0,105.0,64.0,59.0,45.0,46.0
TF_01_0029.c3d,Event6,492.0,552.0,491.0,553.0,104.0,107.0,60.0,62.0,44.0,45.0
TF_01_0029.c3d,Event7,541.0,605.0,544.0,608.0,107.0,105.0,64.0,64.0,43.0,41.0
TF_01_0029.c3d,Event8,596.0,,598.0,,,,,,,
TF_01_0029.c3d,Event9,648.0,,649.0,,,,,,,
TF_01_0030.c3d,Event1,218.0,279.0,221.0,282.0,105.0,104.0,61.0,61.0,44.0,43.0
TF_01_0030.c3d,Event2,267.0,329.0,273.0,330.0,112.0,104.0,62.0,57.0,50.0,47.0
TF_01_0030.c3d,Event6,480.0,545.0,482.0,543.0,107.0,108.0,65.0,61.0,42.0,47.0
TF_01_0030.c3d,Event7,534.0,597.0,536.0,600.0,106.0,105.0,63.0,64.0,43.0,41.0
TF_01_0030.c3d,Event8,587.0,,590.0,,,,,,,
TF_01_0030.c3d,Event9,640.0,,641.0,,,,,,,
TF_02_0024.c3d,Event1,242.0,304.0,244.0,309.0,108.0,113.0,62.0,65.0,46.0,48.0
TF_02_0024.c3d,Event5,466.0,535.0,469.0,540.0,117.0,117.0,69.0,71.0,48.0,46.0
TF_02_0024.c3d,Event6,526.0,592.0,528.0,595.0,113.0,117.0,66.0,67.0,47.0,50.0
TF_02_0024.c3d,Event7,583.0,,586.0,,,,,,,
TF_02_0024.c3d,Event8,639.0,,645.0,,,,,,,
TF_02_0025.c3d,Event1,217.0,278.0,217.0,281.0,106.0,110.0,61.0,64.0,45.0,46.0
TF_02_0025.c3d,Event2,271.0,331.0,272.0,332.0,103.0,108.0,60.0,60.0,43.0,48.0
TF_02_0025.c3d,Event6,493.0,560.0,493.0,560.0,113.0,118.0,67.0,67.0,46.0,51.0
TF_02_0025.c3d,Event7,550.0,,551.0,,,,,,,
TF_02_0025.c3d,Event8,606.0,,611.0,,,,,,,
