Filename,EventNum,GT ICs,GT FOs,IMU ICs,IMU FOs,GTStrideTime,IMUStrideTime,GTStanceTime,IMUStanceTime,GTSwingTime,IMUSwingTime
TF_01_0028.c3d,Event3,344.0,407.0,343.0,408.0,114.0,107.0,63.0,65.0,51.0,42.0
TF_01_0028.c3d,Event4,402.0,463.0,396.0,,108.0,109.0,61.0,,47.0,
TF_01_0028.c3d,Event5,458.0,518.0,450.0,518.0,100.0,109.0,60.0,68.0,40.0,41.0
TF_01_0029.c3d,Event3,333.0,394.0,336.0,418.0,105.0,102.0,61.0,82.0,44.0,20.0
TF_01_0029.c3d,Event4,386.0,446.0,388.0,,106.0,103.0,60.0,,46.0,
TF_01_0029.c3d,Event5,438.0,503.0,438.0,502.0,103.0,106.0,65.0,64.0,38.0,42.0
TF_01_0030.c3d,Event3,323.0,388.0,325.0,410.0,105.0,104.0,65.0,85.0,40.0,19.0
TF_01_0030.c3d,Event4,379.0,435.0,377.0,435.0,101.0,105.0,56.0,58.0,45.0,47.0
TF_01_0030.c3d,Event5,428.0,491.0,429.0,493.0,106.0,107.0,63.0,64.0,43.0,43.0
TF_02_0024.c3d,Event2,299.0,358.0,301.0,367.0,107.0,112.0,59.0,66.0,48.0,46.0
TF_02_0024.c3d,Event3,350.0,416.0,357.0,431.0,116.0,112.0,66.0,74.0,50.0,38.0
TF_02_0024.c3d,Event4,406.0,473.0,413.0,479.0,120.0,115.0,67.0,66.0,53.0,49.0
TF_02_0025.c3d,Event3,323.0,384.0,327.0,388.0,112.0,108.0,61.0,61.0,51.0,47.0
TF_02_0025.c3d,Event4,374.0,442.0,380.0,444.0,119.0,113.0,68.0,64.0,51.0,49.0
TF_02_0025.c3d,Event5,435.0,501.0,435.0,504.0,115.0,116.0,66.0,69.0,49.0,47.0
TF_02_0026.c3d,Event3,322.0,380.0,325.0,382.0,112.0,107.0,58.0,57.0,54.0,50.0
TF_02_0026.c3d,Event4,373.0,439.0,378.0,443.0,116.0,111.0,66.0,65.0,50.0,46.0
TF_03_0030.c3d,Event4,380.0,440.0,381.0,438.0,108.0,108.0,60.0,57.0,48.0,51.0
