Filename,EventNum,GT ICs,GT FOs,IMU ICs,IMU FOs,GTStrideTime,IMUStrideTime,GTStanceTime,IMUStanceTime,GTSwingTime,IMUSwingTime
TF_01_0002.c3d,Event1,321.0,390.0,324.0,394.0,113.0,112.0,69.0,70.0,44.0,42.0
TF_01_0002.c3d,Event2,378.0,447.0,380.0,450.0,112.0,111.0,69.0,70.0,43.0,41.0
TF_01_0002.c3d,Event3,434.0,500.0,436.0,503.0,110.0,110.0,66.0,67.0,44.0,43.0
TF_01_0002.c3d,Event4,490.0,556.0,491.0,558.0,109.0,111.0,66.0,67.0,43.0,44.0
TF_01_0002.c3d,Event5,544.0,608.0,546.0,611.0,110.0,112.0,64.0,65.0,46.0,47.0
TF_01_0002.c3d,Event6,599.0,667.0,602.0,669.0,115.0,112.0,68.0,67.0,47.0,45.0
TF_01_0002.c3d,Event7,654.0,,658.0,,,,,,,
TF_01_0002.c3d,Event8,714.0,,714.0,,,,,,,
TF_01_0003.c3d,Event1,249.0,311.0,252.0,314.0,104.0,104.0,62.0,62.0,42.0,42.0
TF_01_0003.c3d,Event2,303.0,365.0,304.0,365.0,103.0,105.0,62.0,61.0,41.0,44.0
TF_01_0003.c3d,Event3,353.0,415.0,356.0,418.0,106.0,105.0,62.0,62.0,44.0,43.0
TF_01_0003.c3d,Event4,406.0,469.0,409.0,470.0,106.0,105.0,63.0,61.0,43.0,44.0
TF_01_0003.c3d,Event5,459.0,521.0,461.0,522.0,106.0,106.0,62.0,61.0,44.0,45.0
TF_01_0003.c3d,Event6,512.0,577.0,514.0,578.0,107.0,108.0,65.0,64.0,42.0,44.0
TF_01_0003.c3d,Event7,565.0,,567.0,,,,,,,
TF_01_0003.c3d,Event8,619.0,,622.0,,,,,,,
TF_01_0004.c3d,Event1,163.0,228.0,166.0,227.0,105.0,105.0,65.0,61.0,40.0,44.0
TF_01_0004.c3d,Event2,213.0,277.0,218.0,280.0,107.0,105.0,64.0,62.0,43.0,43.0
TF_01_0004.c3d,Event3,268.0,331.0,271.0,333.0,105.0,105.0,63.0,62.0,42.0,43.0
TF_01_0004.c3d,Event4,320.0,382.0,323.0,384.0,106.0,105.0,62.0,61.0,44.0,44.0
TF_01_0004.c3d,Event5,373.0,436.0,376.0,437.0,101.0,103.0,63.0,61.0,38.0,42.0
TF_01_0004.c3d,Event6,426.0,,428.0,,,,,,,
TF_01_0004.c3d,Event7,474.0,,479.0,,,,,,,
TF_01_0005.c3d,Event1,124.0,183.0,125.0,189.0,103.0,104.0,59.0,64.0,44.0,40.0
TF_01_0005.c3d,Event2,175.0,237.0,177.0,237.0,103.0,103.0,62.0,60.0,41.0,43.0
TF_01_0005.c3d,Event3,227.0,287.0,229.0,289.0,102.0,102.0,60.0,60.0,42.0,42.0
TF_01_0005.c3d,Event4,278.0,338.0,280.0,339.0,100.0,102.0,60.0,59.0,40.0,43.0
TF_01_0005.c3d,Event5,329.0,389.0,331.0,393.0,102.0,103.0,60.0,62.0,42.0,41.0
TF_01_0005.c3d,Event6,378.0,441.0,382.0,441.0,105.0,106.0,63.0,59.0,42.0,47.0
TF_01_0005.c3d,Event7,431.0,,434.0,,,,,,,
TF_01_0005.c3d,Event8,483.0,,488.0,,,,,,,
TF_01_0006.c3d,Event1,36.0,100.0,38.0,102.0,105.0,104.0,64.0,64.0,41.0,40.0
TF_01_0006.c3d,Event2,88.0,151.0,91.0,154.0,105.0,103.0,63.0,63.0,42.0,40.0
TF_01_0006.c3d,Event3,141.0,202.0,142.0,203.0,104.0,104.0,61.0,61.0,43.0,43.0
TF_01_0006.c3d,Event4,193.0,254.0,194.0,255.0,103.0,103.0,61.0,61.0,42.0,42.0
TF_01_0006.c3d,Event5,245.0,304.0,246.0,306.0,102.0,103.0,59.0,60.0,43.0,43.0
TF_01_0006.c3d,Event6,296.0,357.0,297.0,357.0,102.0,103.0,61.0,60.0,41.0,43.0
TF_01_0006.c3d,Event7,347.0,,349.0,,,,,,,
TF_01_0006.c3d,Event8,398.0,,400.0,,,,,,,
TF_01_0007.c3d,Event1,34.0,94.0,36.0,99.0,102.0,102.0,60.0,63.0,42.0,39.0
TF_01_0007.c3d,Event2,86.0,145.0,87.0,146.0,102.0,102.0,59.0,59.0,43.0,43.0
TF_01_0007.c3d,Event3,136.0,195.0,138.0,200.0,101.0,102.0,59.0,62.0,42.0,40.0
TF_01_0007.c3d,Event4,188.0,247.0,189.0,247.0,99.0,102.0,59.0,58.0,40.0,44.0
TF_01_0007.c3d,Event5,237.0,296.0,240.0,301.0,102.0,102.0,59.0,61.0,43.0,41.0
TF_01_0007.c3d,Event6,287.0,348.0,291.0,349.0,104.0,103.0,61.0,58.0,43.0,45.0
TF_01_0007.c3d,Event7,339.0,,342.0,,,,,,,
TF_01_0007.c3d,Event8,391.0,,394.0,,,,,,,
TF_01_0008.c3d,Event1,65.0,133.0,70.0,133.0,109.0,104.0,68.0,63.0,41.0,41.0
TF_01_0008.c3d,Event2,119.0,184.0,122.0,186.0,107.0,104.0,65.0,64.0,42.0,40.0
TF_01_0008.c3d,Event3,174.0,234.0,174.0,235.0,102.0,104.0,60.0,61.0,42.0,43.0
TF_01_0008.c3d,Event4,226.0,285.0,226.0,287.0,102.0,104.0,59.0,61.0,43.0,43.0
TF_01_0008.c3d,Event5,276.0,336.0,278.0,337.0,102.0,104.0,60.0,59.0,42.0,45.0
TF_01_0008.c3d,Event6,328.0,389.0,330.0,388.0,102.0,107.0,61.0,58.0,41.0,49.0
TF_01_0008.c3d,Event7,378.0,,382.0,,,,,,,
TF_01_0008.c3d,Event8,430.0,,437.0,,,,,,,
TF_01_0009.c3d,Event1,15.0,86.0,20.0,84.0,109.0,106.0,71.0,64.0,38.0,42.0
TF_01_0009.c3d,Event2,75.0,137.0,74.0,136.0,102.0,104.0,62.0,62.0,40.0,42.0
TF_01_0009.c3d,Event3,124.0,187.0,126.0,187.0,104.0,103.0,63.0,61.0,41.0,42.0
TF_01_0009.c3d,Event4,177.0,239.0,178.0,238.0,103.0,103.0,62.0,60.0,41.0,43.0
TF_01_0009.c3d,Event5,228.0,289.0,229.0,289.0,103.0,103.0,61.0,60.0,42.0,43.0
TF_01_0009.c3d,Event6,280.0,342.0,281.0,343.0,103.0,103.0,62.0,62.0,41.0,41.0
TF_01_0009.c3d,Event7,331.0,,332.0,,,,,,,
TF_01_0009.c3d,Event8,383.0,,384.0,,,,,,,
TF_01_0010.c3d,Event1,79.0,139.0,80.0,140.0,99.0,101.0,60.0,60.0,39.0,41.0
TF_01_0010.c3d,Event2,128.0,189.0,131.0,189.0,101.0,101.0,61.0,58.0,40.0,43.0
TF_01_0010.c3d,Event3,178.0,239.0,181.0,240.0,101.0,101.0,61.0,59.0,40.0,42.0
TF_01_0010.c3d,Event4,229.0,288.0,232.0,289.0,99.0,100.0,59.0,57.0,40.0,43.0
TF_01_0010.c3d,Event5,279.0,,282.0,,,,,,,
TF_01_0010.c3d,Event6,328.0,,332.0,,,,,,,
TF_01_0011.c3d,Event1,63.0,124.0,66.0,125.0,100.0,100.0,61.0,59.0,39.0,41.0
TF_01_0011.c3d,Event2,114.0,173.0,116.0,173.0,99.0,100.0,59.0,57.0,40.0,43.0
TF_01_0011.c3d,Event3,163.0,223.0,166.0,225.0,99.0,100.0,60.0,59.0,39.0,41.0
TF_01_0011.c3d,Event4,213.0,273.0,216.0,272.0,100.0,100.0,60.0,56.0,40.0,44.0
TF_01_0011.c3d,Event5,262.0,322.0,266.0,324.0,102.0,100.0,60.0,58.0,42.0,42.0
TF_01_0011.c3d,Event6,313.0,373.0,316.0,375.0,109.0,102.0,60.0,59.0,49.0,43.0
TF_01_0011.c3d,Event7,364.0,,366.0,,,,,,,
TF_01_0011.c3d,Event8,422.0,,418.0,,,,,,,
TF_01_0012.c3d,Event1,61.0,123.0,64.0,123.0,102.0,101.0,62.0,59.0,40.0,42.0
TF_01_0012.c3d,Event2,112.0,172.0,115.0,172.0,102.0,101.0,60.0,57.0,42.0,44.0
TF_01_0012.c3d,Event3,163.0,223.0,165.0,226.0,102.0,101.0,60.0,61.0,42.0,40.0
TF_01_0012.c3d,Event4,214.0,272.0,216.0,274.0,98.0,100.0,58.0,58.0,40.0,42.0
TF_01_0012.c3d,Event5,265.0,,266.0,,,,,,,
TF_01_0012.c3d,Event6,312.0,,316.0,,,,,,,
TF_02_0002.c3d,Event1,56.0,131.0,55.0,129.0,123.0,123.0,75.0,74.0,48.0,49.0
TF_02_0002.c3d,Event2,119.0,192.0,117.0,189.0,120.0,122.0,73.0,72.0,47.0,50.0
TF_02_0002.c3d,Event3,179.0,251.0,178.0,249.0,121.0,122.0,72.0,71.0,49.0,51.0
TF_02_0002.c3d,Event4,239.0,,239.0,,,,,,,
TF_02_0002.c3d,Event5,300.0,,300.0,,,,,,,
TF_02_0003.c3d,Event1,176.0,251.0,179.0,254.0,125.0,122.0,75.0,75.0,50.0,47.0
TF_02_0003.c3d,Event2,242.0,313.0,240.0,313.0,118.0,122.0,71.0,73.0,47.0,49.0
TF_02_0003.c3d,Event3,301.0,,301.0,,,,,,,
TF_02_0003.c3d,Event4,360.0,,362.0,,,,,,,
TF_02_0004.c3d,Event1,148.0,220.0,147.0,219.0,119.0,121.0,72.0,72.0,47.0,49.0
TF_02_0004.c3d,Event2,207.0,280.0,208.0,280.0,120.0,120.0,73.0,72.0,47.0,48.0
TF_02_0004.c3d,Event3,267.0,338.0,268.0,338.0,120.0,120.0,71.0,70.0,49.0,50.0
TF_02_0004.c3d,Event4,327.0,,328.0,,,,,,,
TF_02_0004.c3d,Event5,387.0,,388.0,,,,,,,
TF_02_0005.c3d,Event1,209.0,282.0,208.0,281.0,119.0,120.0,73.0,73.0,46.0,47.0
