Filename,EventNum,GT ICs,GT FOs,IMU ICs,IMU FOs,GTStrideTime,IMUStrideTime,GTStanceTime,IMUStanceTime,GTSwingTime,IMUSwingTime
TF_01_0016.c3d,Event1,175.0,239.0,177.0,239.0,102.0,105.0,64.0,62.0,38.0,43.0
TF_01_0016.c3d,Event2,230.0,287.0,230.0,287.0,100.0,103.0,57.0,57.0,43.0,46.0
TF_01_0016.c3d,Event3,277.0,338.0,282.0,341.0,99.0,100.0,61.0,59.0,38.0,41.0
TF_01_0016.c3d,Event4,330.0,389.0,333.0,390.0,100.0,100.0,59.0,57.0,41.0,43.0
TF_01_0016.c3d,Event5,376.0,440.0,382.0,443.0,105.0,103.0,64.0,61.0,41.0,42.0
TF_01_0016.c3d,Event6,430.0,490.0,433.0,492.0,101.0,104.0,60.0,59.0,41.0,45.0
TF_01_0016.c3d,Event7,481.0,,485.0,,,,,,,
TF_01_0016.c3d,Event8,531.0,,537.0,,,,,,,
TF_01_0017.c3d,Event1,165.0,224.0,169.0,228.0,100.0,100.0,59.0,59.0,41.0,41.0
TF_01_0017.c3d,Event2,217.0,276.0,220.0,279.0,98.0,98.0,59.0,59.0,39.0,39.0
TF_01_0017.c3d,Event3,265.0,324.0,269.0,328.0,102.0,99.0,59.0,59.0,43.0,40.0
TF_01_0017.c3d,Event4,315.0,375.0,318.0,378.0,101.0,100.0,60.0,60.0,41.0,40.0
TF_01_0017.c3d,Event5,367.0,424.0,368.0,428.0,97.0,101.0,57.0,60.0,40.0,41.0
TF_01_0017.c3d,Event6,416.0,476.0,418.0,479.0,102.0,106.0,60.0,61.0,42.0,45.0
TF_01_0017.c3d,Event7,464.0,,469.0,,,,,,,
TF_01_0017.c3d,Event8,518.0,,524.0,,,,,,,
TF_01_0018.c3d,Event1,108.0,170.0,113.0,170.0,99.0,99.0,62.0,57.0,37.0,42.0
TF_01_0018.c3d,Event2,159.0,219.0,163.0,219.0,100.0,97.0,60.0,56.0,40.0,41.0
TF_01_0018.c3d,Event3,207.0,268.0,212.0,269.0,102.0,96.0,61.0,57.0,41.0,39.0
TF_01_0018.c3d,Event4,259.0,317.0,260.0,320.0,98.0,98.0,58.0,60.0,40.0,38.0
TF_01_0018.c3d,Event5,309.0,367.0,308.0,370.0,96.0,99.0,58.0,62.0,38.0,37.0
TF_01_0018.c3d,Event6,357.0,415.0,358.0,413.0,96.0,97.0,58.0,55.0,38.0,42.0
TF_01_0018.c3d,Event7,405.0,,407.0,,,,,,,
TF_01_0018.c3d,Event8,453.0,,455.0,,,,,,,
TF_02_0012.c3d,Event1,312.0,385.0,315.0,386.0,121.0,119.0,73.0,71.0,48.0,48.0
TF_02_0012.c3d,Event2,368.0,446.0,373.0,450.0,124.0,123.0,78.0,77.0,46.0,46.0
TF_02_0012.c3d,Event3,433.0,506.0,434.0,509.0,117.0,121.0,73.0,75.0,44.0,46.0
TF_02_0012.c3d,Event4,492.0,564.0,496.0,564.0,119.0,118.0,72.0,68.0,47.0,50.0
TF_02_0012.c3d,Event5,550.0,,555.0,,,,,,,
TF_02_0012.c3d,Event6,611.0,,614.0,,,,,,,
TF_02_0013.c3d,Event1,295.0,368.0,297.0,369.0,121.0,121.0,73.0,72.0,48.0,49.0
TF_02_0013.c3d,Event2,354.0,429.0,356.0,431.0,121.0,123.0,75.0,75.0,46.0,48.0
TF_02_0013.c3d,Event3,416.0,488.0,418.0,489.0,120.0,120.0,72.0,71.0,48.0,49.0
TF_02_0013.c3d,Event4,475.0,,479.0,,,,,,,
TF_02_0013.c3d,Event5,536.0,,538.0,,,,,,,
TF_02_0014.c3d,Event1,214.0,287.0,219.0,289.0,119.0,118.0,73.0,70.0,46.0,48.0
TF_02_0014.c3d,Event2,276.0,347.0,278.0,346.0,120.0,119.0,71.0,68.0,49.0,51.0
TF_02_0014.c3d,Event3,333.0,411.0,337.0,411.0,123.0,120.0,78.0,74.0,45.0,46.0
TF_02_0014.c3d,Event4,396.0,468.0,397.0,469.0,119.0,118.0,72.0,72.0,47.0,46.0
TF_02_0014.c3d,Event5,456.0,,457.0,,,,,,,
TF_02_0014.c3d,Event6,515.0,,515.0,,,,,,,
TF_03_0018.c3d,Event1,172.0,230.0,170.0,233.0,100.0,100.0,58.0,63.0,42.0,37.0
TF_03_0018.c3d,Event2,222.0,282.0,220.0,290.0,98.0,100.0,60.0,70.0,38.0,30.0
TF_03_0018.c3d,Event3,272.0,335.0,270.0,332.0,101.0,101.0,63.0,62.0,38.0,39.0
TF_03_0018.c3d,Event4,320.0,380.0,320.0,382.0,104.0,103.0,60.0,62.0,44.0,41.0
TF_03_0018.c3d,Event5,373.0,432.0,371.0,434.0,99.0,102.0,59.0,63.0,40.0,39.0
TF_03_0018.c3d,Event6,424.0,483.0,423.0,483.0,100.0,101.0,59.0,60.0,41.0,41.0
TF_03_0018.c3d,Event7,472.0,,473.0,,,,,,,
TF_03_0018.c3d,Event8,524.0,,524.0,,,,,,,
TF_03_0019.c3d,Event1,16.0,80.0,13.0,82.0,104.0,107.0,64.0,69.0,40.0,38.0
TF_03_0019.c3d,Event2,68.0,129.0,68.0,131.0,101.0,102.0,61.0,63.0,40.0,39.0
