Filename,EventNum,GT ICs,GT FOs,IMU ICs,IMU FOs,GTStrideTime,IMUStrideTime,GTStanceTime,IMUStanceTime,GTSwingTime,IMUSwingTime
TF_01_0013.c3d,Event1,82.0,144.0,84.0,153.0,106.0,106.0,62.0,69.0,44.0,37.0
TF_01_0013.c3d,Event2,134.0,198.0,137.0,195.0,107.0,106.0,64.0,58.0,43.0,48.0
TF_01_0013.c3d,Event3,188.0,249.0,190.0,260.0,109.0,107.0,61.0,70.0,48.0,37.0
TF_01_0013.c3d,Event4,241.0,307.0,243.0,299.0,109.0,107.0,66.0,56.0,43.0,51.0
TF_01_0013.c3d,Event5,297.0,359.0,297.0,352.0,103.0,107.0,62.0,55.0,41.0,52.0
TF_01_0013.c3d,Event6,350.0,,350.0,,,,,,,
TF_01_0013.c3d,Event7,400.0,,404.0,,,,,,,
TF_01_0014.c3d,Event1,90.0,156.0,92.0,157.0,106.0,105.0,66.0,65.0,40.0,40.0
TF_01_0014.c3d,Event2,143.0,208.0,145.0,203.0,107.0,104.0,65.0,58.0,42.0,46.0
TF_01_0014.c3d,Event3,196.0,259.0,197.0,261.0,103.0,104.0,63.0,64.0,40.0,40.0
TF_01_0014.c3d,Event4,250.0,308.0,249.0,304.0,98.0,104.0,58.0,55.0,40.0,49.0
TF_01_0014.c3d,Event5,299.0,361.0,301.0,,100.0,104.0,62.0,,38.0,
TF_01_0014.c3d,Event6,348.0,411.0,353.0,409.0,103.0,,63.0,56.0,40.0,
TF_01_0014.c3d,Event7,399.0,,405.0,,,,,,,
TF_01_0014.c3d,Event8,451.0,,,,,,,,,
TF_01_0015.c3d,Event1,150.0,212.0,152.0,218.0,103.0,106.0,62.0,66.0,41.0,40.0
TF_01_0015.c3d,Event2,203.0,265.0,205.0,267.0,103.0,105.0,62.0,62.0,41.0,43.0
TF_01_0015.c3d,Event3,253.0,316.0,258.0,314.0,105.0,105.0,63.0,56.0,42.0,49.0
TF_01_0015.c3d,Event4,306.0,370.0,310.0,376.0,105.0,105.0,64.0,66.0,41.0,39.0
TF_01_0015.c3d,Event5,358.0,420.0,363.0,443.0,106.0,104.0,62.0,80.0,44.0,24.0
TF_01_0015.c3d,Event6,411.0,474.0,415.0,482.0,105.0,104.0,63.0,67.0,42.0,37.0
TF_01_0015.c3d,Event7,464.0,,467.0,,,,,,,
TF_01_0015.c3d,Event8,516.0,,519.0,,,,,,,
TF_02_0009.c3d,Event1,249.0,320.0,250.0,332.0,120.0,120.0,71.0,82.0,49.0,38.0
TF_02_0009.c3d,Event2,310.0,382.0,310.0,374.0,123.0,122.0,72.0,64.0,51.0,58.0
TF_02_0009.c3d,Event3,369.0,444.0,370.0,436.0,123.0,123.0,75.0,66.0,48.0,57.0
TF_02_0009.c3d,Event4,433.0,506.0,432.0,511.0,122.0,121.0,73.0,79.0,49.0,42.0
TF_02_0009.c3d,Event5,492.0,,493.0,,,,,,,
TF_02_0009.c3d,Event6,555.0,,553.0,,,,,,,
TF_02_0010.c3d,Event1,167.0,244.0,168.0,244.0,127.0,127.0,77.0,76.0,50.0,51.0
TF_02_0010.c3d,Event2,229.0,305.0,231.0,299.0,128.0,127.0,76.0,68.0,52.0,59.0
TF_02_0010.c3d,Event3,294.0,371.0,295.0,362.0,125.0,127.0,77.0,67.0,48.0,60.0
TF_02_0010.c3d,Event4,357.0,432.0,358.0,434.0,125.0,127.0,75.0,76.0,50.0,51.0
TF_02_0010.c3d,Event5,419.0,,422.0,,,,,,,
TF_02_0010.c3d,Event6,482.0,,485.0,,,,,,,
TF_02_0011.c3d,Event1,243.0,316.0,244.0,309.0,124.0,123.0,73.0,65.0,51.0,58.0
TF_02_0011.c3d,Event2,305.0,381.0,305.0,371.0,128.0,126.0,76.0,66.0,52.0,60.0
TF_02_0011.c3d,Event3,367.0,444.0,367.0,448.0,124.0,125.0,77.0,81.0,47.0,44.0
TF_02_0011.c3d,Event4,433.0,504.0,431.0,496.0,119.0,123.0,71.0,65.0,48.0,58.0
TF_02_0011.c3d,Event5,491.0,,492.0,,,,,,,
TF_02_0011.c3d,Event6,552.0,,554.0,,,,,,,
TF_03_0015.c3d,Event1,54.0,119.0,55.0,113.0,107.0,106.0,65.0,58.0,42.0,48.0
TF_03_0015.c3d,Event2,108.0,170.0,108.0,168.0,105.0,104.0,62.0,60.0,43.0,44.0
TF_03_0015.c3d,Event3,161.0,222.0,161.0,216.0,104.0,103.0,61.0,55.0,43.0,48.0
TF_03_0015.c3d,Event4,213.0,275.0,212.0,265.0,106.0,106.0,62.0,53.0,44.0,53.0
TF_03_0015.c3d,Event5,265.0,330.0,264.0,326.0,106.0,107.0,65.0,62.0,41.0,45.0
TF_03_0015.c3d,Event6,319.0,381.0,318.0,379.0,105.0,106.0,62.0,61.0,43.0,45.0
TF_03_0015.c3d,Event7,371.0,435.0,371.0,432.0,107.0,106.0,64.0,61.0,43.0,45.0
TF_03_0015.c3d,Event8,424.0,,424.0,,,,,,,
TF_03_0015.c3d,Event9,478.0,,477.0,,,,,,,
TF_03_0016.c3d,Event1,33.0,92.0,34.0,90.0,97.0,97.0,59.0,56.0,38.0,41.0
TF_03_0016.c3d,Event2,78.0,140.0,83.0,133.0,103.0,98.0,62.0,50.0,41.0,48.0
TF_03_0016.c3d,Event3,130.0,193.0,131.0,196.0,107.0,105.0,63.0,65.0,44.0,40.0
TF_03_0016.c3d,Event4,181.0,246.0,181.0,240.0,109.0,108.0,65.0,59.0,44.0,49.0
TF_03_0016.c3d,Event5,237.0,297.0,236.0,299.0,102.0,103.0,60.0,63.0,42.0,40.0
TF_03_0016.c3d,Event6,290.0,349.0,289.0,346.0,101.0,101.0,59.0,57.0,42.0,44.0
TF_03_0016.c3d,Event7,339.0,400.0,339.0,394.0,103.0,102.0,61.0,55.0,42.0,47.0
TF_03_0016.c3d,Event8,391.0,,390.0,,,,,,,
TF_03_0016.c3d,Event9,442.0,,441.0,,,,,,,
TF_03_0017.c3d,Event1,85.0,146.0,85.0,144.0,102.0,103.0,61.0,59.0,41.0,44.0
TF_03_0017.c3d,Event2,136.0,197.0,137.0,204.0,104.0,103.0,61.0,67.0,43.0,36.0
TF_03_0017.c3d,Event3,187.0,250.0,188.0,241.0,105.0,105.0,63.0,53.0,42.0,52.0
TF_03_0017.c3d,Event4,240.0,302.0,240.0,301.0,108.0,108.0,62.0,61.0,46.0,47.0
TF_03_0017.c3d,Event5,292.0,357.0,293.0,357.0,111.0,109.0,65.0,64.0,46.0,45.0
TF_03_0017.c3d,Event6,348.0,413.0,348.0,415.0,107.0,107.0,65.0,67.0,42.0,40.0
TF_03_0017.c3d,Event7,403.0,466.0,402.0,461.0,104.0,107.0,63.0,59.0,41.0,48.0
TF_03_0017.c3d,Event8,455.0,,455.0,,,,,,,
TF_03_0017.c3d,Event9,507.0,,509.0,,,,,,,
TF_04_0011.c3d,Event1,38.0,103.0,43.0,100.0,105.0,103.0,65.0,57.0,40.0,46.0
TF_04_0011.c3d,Event2,90.0,155.0,95.0,155.0,102.0,102.0,65.0,60.0,37.0,42.0
