Filename,EventNum,GT ICs,GT FOs,IMU ICs,IMU FOs,GTStrideTime,IMUStrideTime,GTStanceTime,IMUStanceTime,GTSwingTime,IMUSwingTime
TF_01_0028.c3d,Event3,344.0,407.0,342.0,403.0,114.0,105.0,63.0,61.0,51.0,44.0
TF_01_0028.c3d,Event4,402.0,463.0,391.0,459.0,108.0,115.0,61.0,68.0,47.0,47.0
TF_01_0028.c3d,Event5,458.0,518.0,447.0,517.0,100.0,110.0,60.0,70.0,40.0,40.0
TF_01_0029.c3d,Event3,333.0,394.0,335.0,396.0,105.0,101.0,61.0,61.0,44.0,40.0
TF_01_0029.c3d,Event4,386.0,446.0,388.0,447.0,106.0,104.0,60.0,59.0,46.0,45.0
TF_01_0029.c3d,Event5,438.0,503.0,436.0,501.0,103.0,107.0,65.0,65.0,38.0,42.0
TF_01_0030.c3d,Event3,323.0,388.0,322.0,387.0,105.0,103.0,65.0,65.0,40.0,38.0
TF_01_0030.c3d,Event4,379.0,435.0,376.0,438.0,101.0,107.0,56.0,62.0,45.0,45.0
TF_01_0030.c3d,Event5,428.0,491.0,425.0,492.0,106.0,109.0,63.0,67.0,43.0,42.0
TF_02_0024.c3d,Event2,299.0,358.0,303.0,362.0,107.0,106.0,59.0,59.0,48.0,47.0
TF_02_0024.c3d,Event3,350.0,416.0,354.0,419.0,116.0,113.0,66.0,65.0,50.0,48.0
TF_02_0024.c3d,Event4,406.0,473.0,409.0,478.0,120.0,119.0,67.0,69.0,53.0,50.0
TF_02_0025.c3d,Event3,323.0,384.0,326.0,387.0,112.0,109.0,61.0,61.0,51.0,48.0
TF_02_0025.c3d,Event4,374.0,442.0,376.0,445.0,119.0,116.0,68.0,69.0,51.0,47.0
TF_02_0025.c3d,Event5,435.0,501.0,435.0,503.0,115.0,116.0,66.0,68.0,49.0,48.0
TF_02_0026.c3d,Event3,322.0,380.0,324.0,387.0,112.0,108.0,58.0,63.0,54.0,45.0
TF_02_0026.c3d,Event4,373.0,439.0,381.0,442.0,116.0,107.0,66.0,61.0,50.0,46.0
TF_03_0030.c3d,Event4,380.0,440.0,383.0,452.0,108.0,108.0,60.0,69.0,48.0,39.0
TF_03_0030.c3d,Event5,436.0,500.0,431.0,502.0,106.0,110.0,64.0,71.0,42.0,39.0
TF_03_0030.c3d,Event6,488.0,553.0,491.0,563.0,109.0,106.0,65.0,72.0,44.0,34.0
TF_03_0032.c3d,Event4,452.0,514.0,459.0,524.0,110.0,107.0,62.0,65.0,48.0,42.0
TF_03_0032.c3d,Event5,505.0,572.0,507.0,576.0,107.0,107.0,67.0,69.0,40.0,38.0
TF_03_0032.c3d,Event6,562.0,624.0,566.0,635.0,105.0,103.0,62.0,69.0,43.0,34.0
TF_03_0033.c3d,Event4,380.0,449.0,381.0,451.0,116.0,114.0,69.0,70.0,47.0,44.0
TF_03_0033.c3d,Event5,439.0,508.0,439.0,516.0,112.0,113.0,69.0,77.0,43.0,36.0
TF_03_0033.c3d,Event6,496.0,561.0,495.0,561.0,108.0,110.0,65.0,66.0,43.0,44.0
TF_04_0025.c3d,Event3,270.0,320.0,281.0,341.0,89.0,87.0,50.0,60.0,39.0,27.0
TF_04_0025.c3d,Event4,314.0,366.0,324.0,371.0,93.0,82.0,52.0,47.0,41.0,35.0
TF_04_0025.c3d,Event5,359.0,414.0,368.0,418.0,99.0,93.0,55.0,50.0,44.0,43.0
TF_04_0025.c3d,Event6,407.0,468.0,406.0,471.0,103.0,107.0,61.0,65.0,42.0,42.0
