Filename,EventNum,GT ICs,GT FOs,IMU ICs,IMU FOs,GTStrideTime,IMUStrideTime,GTStanceTime,IMUStanceTime,GTSwingTime,IMUSwingTime
TF_01_0002.c3d,Event1,321.0,390.0,323.0,391.0,113.0,112.0,69.0,68.0,44.0,44.0
TF_01_0002.c3d,Event2,378.0,447.0,379.0,447.0,112.0,111.0,69.0,68.0,43.0,43.0
TF_01_0002.c3d,Event3,434.0,500.0,435.0,501.0,110.0,109.0,66.0,66.0,44.0,43.0
TF_01_0002.c3d,Event4,490.0,556.0,490.0,555.0,109.0,109.0,66.0,65.0,43.0,44.0
TF_01_0002.c3d,Event5,544.0,608.0,544.0,610.0,110.0,112.0,64.0,66.0,46.0,46.0
TF_01_0002.c3d,Event6,599.0,667.0,599.0,666.0,115.0,115.0,68.0,67.0,47.0,48.0
TF_01_0002.c3d,Event7,654.0,,656.0,,,,,,,
TF_01_0002.c3d,Event8,714.0,,714.0,,,,,,,
TF_01_0003.c3d,Event1,249.0,311.0,251.0,314.0,104.0,103.0,62.0,63.0,42.0,40.0
TF_01_0003.c3d,Event2,303.0,365.0,303.0,364.0,103.0,103.0,62.0,61.0,41.0,42.0
TF_01_0003.c3d,Event3,353.0,415.0,354.0,417.0,106.0,105.0,62.0,63.0,44.0,42.0
TF_01_0003.c3d,Event4,406.0,469.0,406.0,469.0,106.0,106.0,63.0,63.0,43.0,43.0
TF_01_0003.c3d,Event5,459.0,521.0,459.0,522.0,106.0,106.0,62.0,63.0,44.0,43.0
TF_01_0003.c3d,Event6,512.0,577.0,512.0,576.0,107.0,107.0,65.0,64.0,42.0,43.0
TF_01_0003.c3d,Event7,565.0,,565.0,,,,,,,
TF_01_0003.c3d,Event8,619.0,,619.0,,,,,,,
TF_01_0004.c3d,Event1,163.0,228.0,164.0,225.0,105.0,105.0,65.0,61.0,40.0,44.0
TF_01_0004.c3d,Event2,213.0,277.0,215.0,279.0,107.0,106.0,64.0,64.0,43.0,42.0
TF_01_0004.c3d,Event3,268.0,331.0,269.0,331.0,105.0,103.0,63.0,62.0,42.0,41.0
TF_01_0004.c3d,Event4,320.0,382.0,321.0,384.0,106.0,105.0,62.0,63.0,44.0,42.0
TF_01_0004.c3d,Event5,373.0,436.0,372.0,436.0,101.0,105.0,63.0,64.0,38.0,41.0
TF_01_0004.c3d,Event6,426.0,,426.0,,,,,,,
TF_01_0004.c3d,Event7,474.0,,477.0,,,,,,,
TF_01_0005.c3d,Event1,124.0,183.0,124.0,186.0,103.0,103.0,59.0,62.0,44.0,41.0
TF_01_0005.c3d,Event2,175.0,237.0,176.0,237.0,103.0,102.0,62.0,61.0,41.0,41.0
TF_01_0005.c3d,Event3,227.0,287.0,227.0,288.0,102.0,102.0,60.0,61.0,42.0,41.0
TF_01_0005.c3d,Event4,278.0,338.0,278.0,339.0,100.0,101.0,60.0,61.0,40.0,40.0
TF_01_0005.c3d,Event5,329.0,389.0,329.0,390.0,102.0,102.0,60.0,61.0,42.0,41.0
TF_01_0005.c3d,Event6,378.0,441.0,379.0,441.0,105.0,104.0,63.0,62.0,42.0,42.0
TF_01_0005.c3d,Event7,431.0,,431.0,,,,,,,
TF_01_0005.c3d,Event8,483.0,,483.0,,,,,,,
TF_01_0006.c3d,Event1,36.0,100.0,36.0,105.0,105.0,105.0,64.0,69.0,41.0,36.0
TF_01_0006.c3d,Event2,88.0,151.0,88.0,151.0,105.0,104.0,63.0,63.0,42.0,41.0
TF_01_0006.c3d,Event3,141.0,202.0,141.0,203.0,104.0,103.0,61.0,62.0,43.0,41.0
TF_01_0006.c3d,Event4,193.0,254.0,192.0,253.0,103.0,103.0,61.0,61.0,42.0,42.0
TF_01_0006.c3d,Event5,245.0,304.0,244.0,306.0,102.0,102.0,59.0,62.0,43.0,40.0
TF_01_0006.c3d,Event6,296.0,357.0,295.0,356.0,102.0,103.0,61.0,61.0,41.0,42.0
TF_01_0006.c3d,Event7,347.0,,346.0,,,,,,,
TF_01_0006.c3d,Event8,398.0,,398.0,,,,,,,
TF_01_0007.c3d,Event1,34.0,94.0,34.0,96.0,102.0,102.0,60.0,62.0,42.0,40.0
TF_01_0007.c3d,Event2,86.0,145.0,86.0,146.0,102.0,102.0,59.0,60.0,43.0,42.0
TF_01_0007.c3d,Event3,136.0,195.0,136.0,197.0,101.0,101.0,59.0,61.0,42.0,40.0
TF_01_0007.c3d,Event4,188.0,247.0,188.0,247.0,99.0,99.0,59.0,59.0,40.0,40.0
TF_01_0007.c3d,Event5,237.0,296.0,237.0,297.0,102.0,101.0,59.0,60.0,43.0,41.0
TF_01_0007.c3d,Event6,287.0,348.0,287.0,348.0,104.0,104.0,61.0,61.0,43.0,43.0
TF_01_0007.c3d,Event7,339.0,,338.0,,,,,,,
TF_01_0007.c3d,Event8,391.0,,391.0,,,,,,,
TF_01_0008.c3d,Event1,65.0,133.0,72.0,132.0,109.0,102.0,68.0,60.0,41.0,42.0
TF_01_0008.c3d,Event2,119.0,184.0,121.0,185.0,107.0,104.0,65.0,64.0,42.0,40.0
TF_01_0008.c3d,Event3,174.0,234.0,174.0,235.0,102.0,102.0,60.0,61.0,42.0,41.0
TF_01_0008.c3d,Event4,226.0,285.0,225.0,285.0,102.0,102.0,59.0,60.0,43.0,42.0
TF_01_0008.c3d,Event5,276.0,336.0,276.0,337.0,102.0,101.0,60.0,61.0,42.0,40.0
TF_01_0008.c3d,Event6,328.0,389.0,327.0,388.0,102.0,104.0,61.0,61.0,41.0,43.0
TF_01_0008.c3d,Event7,378.0,,377.0,,,,,,,
TF_01_0008.c3d,Event8,430.0,,431.0,,,,,,,
TF_01_0009.c3d,Event1,15.0,86.0,16.0,85.0,109.0,109.0,71.0,69.0,38.0,40.0
TF_01_0009.c3d,Event2,75.0,137.0,73.0,135.0,102.0,103.0,62.0,62.0,40.0,41.0
TF_01_0009.c3d,Event3,124.0,187.0,125.0,186.0,104.0,103.0,63.0,61.0,41.0,42.0
TF_01_0009.c3d,Event4,177.0,239.0,176.0,237.0,103.0,103.0,62.0,61.0,41.0,42.0
TF_01_0009.c3d,Event5,228.0,289.0,228.0,289.0,103.0,103.0,61.0,61.0,42.0,42.0
TF_01_0009.c3d,Event6,280.0,342.0,279.0,341.0,103.0,104.0,62.0,62.0,41.0,42.0
TF_01_0009.c3d,Event7,331.0,,331.0,,,,,,,
TF_01_0009.c3d,Event8,383.0,,383.0,,,,,,,
TF_01_0010.c3d,Event1,79.0,139.0,80.0,139.0,99.0,99.0,60.0,59.0,39.0,40.0
TF_01_0010.c3d,Event2,128.0,189.0,129.0,188.0,101.0,101.0,61.0,59.0,40.0,42.0
TF_01_0010.c3d,Event3,178.0,239.0,179.0,239.0,101.0,100.0,61.0,60.0,40.0,40.0
TF_01_0010.c3d,Event4,229.0,288.0,230.0,289.0,99.0,99.0,59.0,59.0,40.0,40.0
TF_01_0010.c3d,Event5,279.0,,279.0,,,,,,,
TF_01_0010.c3d,Event6,328.0,,329.0,,,,,,,
TF_01_0011.c3d,Event1,63.0,124.0,64.0,124.0,100.0,99.0,61.0,60.0,39.0,39.0
TF_01_0011.c3d,Event2,114.0,173.0,114.0,174.0,99.0,99.0,59.0,60.0,40.0,39.0
TF_01_0011.c3d,Event3,163.0,223.0,163.0,223.0,99.0,100.0,60.0,60.0,39.0,40.0
TF_01_0011.c3d,Event4,213.0,273.0,213.0,273.0,100.0,100.0,60.0,60.0,40.0,40.0
TF_01_0011.c3d,Event5,262.0,322.0,263.0,322.0,102.0,101.0,60.0,59.0,42.0,42.0
TF_01_0011.c3d,Event6,313.0,373.0,313.0,374.0,109.0,105.0,60.0,61.0,49.0,44.0
