Filename,EventNum,GT ICs,GT FOs,IMU ICs,IMU FOs,GTStrideTime,IMUStrideTime,GTStanceTime,IMUStanceTime,GTSwingTime,IMUSwingTime
TF_01_0016.c3d,Event1,175.0,239.0,177.0,240.0,102.0,101.0,64.0,63.0,38.0,38.0
TF_01_0016.c3d,Event2,230.0,287.0,230.0,288.0,100.0,101.0,57.0,58.0,43.0,43.0
TF_01_0016.c3d,Event3,277.0,338.0,278.0,339.0,99.0,100.0,61.0,61.0,38.0,39.0
TF_01_0016.c3d,Event4,330.0,389.0,331.0,395.0,100.0,100.0,59.0,64.0,41.0,36.0
TF_01_0016.c3d,Event5,376.0,440.0,378.0,441.0,105.0,103.0,64.0,63.0,41.0,40.0
TF_01_0016.c3d,Event6,430.0,490.0,431.0,492.0,101.0,101.0,60.0,61.0,41.0,40.0
TF_01_0016.c3d,Event7,481.0,,481.0,,,,,,,
TF_01_0016.c3d,Event8,531.0,,532.0,,,,,,,
TF_01_0017.c3d,Event1,165.0,224.0,167.0,228.0,100.0,101.0,59.0,61.0,41.0,40.0
TF_01_0017.c3d,Event2,217.0,276.0,218.0,277.0,98.0,98.0,59.0,59.0,39.0,39.0
TF_01_0017.c3d,Event3,265.0,324.0,268.0,326.0,102.0,100.0,59.0,58.0,43.0,42.0
TF_01_0017.c3d,Event4,315.0,375.0,316.0,377.0,101.0,101.0,60.0,61.0,41.0,40.0
TF_01_0017.c3d,Event5,367.0,424.0,368.0,428.0,97.0,99.0,57.0,60.0,40.0,39.0
TF_01_0017.c3d,Event6,416.0,476.0,417.0,477.0,102.0,102.0,60.0,60.0,42.0,42.0
TF_01_0017.c3d,Event7,464.0,,467.0,,,,,,,
TF_01_0017.c3d,Event8,518.0,,519.0,,,,,,,
TF_01_0018.c3d,Event1,108.0,170.0,109.0,168.0,99.0,99.0,62.0,59.0,37.0,40.0
TF_01_0018.c3d,Event2,159.0,219.0,158.0,219.0,100.0,99.0,60.0,61.0,40.0,38.0
TF_01_0018.c3d,Event3,207.0,268.0,208.0,268.0,102.0,99.0,61.0,60.0,41.0,39.0
TF_01_0018.c3d,Event4,259.0,317.0,257.0,317.0,98.0,100.0,58.0,60.0,40.0,40.0
TF_01_0018.c3d,Event5,309.0,367.0,307.0,366.0,96.0,97.0,58.0,59.0,38.0,38.0
TF_01_0018.c3d,Event6,357.0,415.0,357.0,413.0,96.0,98.0,58.0,56.0,38.0,42.0
TF_01_0018.c3d,Event7,405.0,,404.0,,,,,,,
TF_01_0018.c3d,Event8,453.0,,455.0,,,,,,,
TF_02_0012.c3d,Event1,312.0,385.0,315.0,378.0,121.0,120.0,73.0,63.0,48.0,57.0
TF_02_0012.c3d,Event2,368.0,446.0,372.0,453.0,124.0,124.0,78.0,81.0,46.0,43.0
TF_02_0012.c3d,Event3,433.0,506.0,435.0,505.0,117.0,118.0,73.0,70.0,44.0,48.0
TF_02_0012.c3d,Event4,492.0,564.0,496.0,571.0,119.0,119.0,72.0,75.0,47.0,44.0
TF_02_0012.c3d,Event5,550.0,,553.0,,,,,,,
TF_02_0012.c3d,Event6,611.0,,615.0,,,,,,,
TF_02_0013.c3d,Event1,295.0,368.0,297.0,373.0,121.0,120.0,73.0,76.0,48.0,44.0
TF_02_0013.c3d,Event2,354.0,429.0,356.0,433.0,121.0,122.0,75.0,77.0,46.0,45.0
TF_02_0013.c3d,Event3,416.0,488.0,417.0,488.0,120.0,122.0,72.0,71.0,48.0,51.0
TF_02_0013.c3d,Event4,475.0,,478.0,,,,,,,
TF_02_0013.c3d,Event5,536.0,,539.0,,,,,,,
