Filename,EventNum,GT ICs,GT FOs,IMU ICs,IMU FOs,GTStrideTime,IMUStrideTime,GTStanceTime,IMUStanceTime,GTSwingTime,IMUSwingTime
TF_01_0013.c3d,Event1,82.0,144.0,83.0,145.0,106.0,105.0,62.0,62.0,44.0,43.0
TF_01_0013.c3d,Event2,134.0,198.0,134.0,198.0,107.0,107.0,64.0,64.0,43.0,43.0
TF_01_0013.c3d,Event3,188.0,249.0,188.0,252.0,109.0,108.0,61.0,64.0,48.0,44.0
TF_01_0013.c3d,Event4,241.0,307.0,241.0,307.0,109.0,108.0,66.0,66.0,43.0,42.0
TF_01_0013.c3d,Event5,297.0,359.0,296.0,361.0,103.0,105.0,62.0,65.0,41.0,40.0
TF_01_0013.c3d,Event6,350.0,,349.0,,,,,,,
TF_01_0013.c3d,Event7,400.0,,401.0,,,,,,,
TF_01_0014.c3d,Event1,90.0,156.0,91.0,158.0,106.0,105.0,66.0,67.0,40.0,38.0
TF_01_0014.c3d,Event2,143.0,208.0,144.0,206.0,107.0,105.0,65.0,62.0,42.0,43.0
TF_01_0014.c3d,Event3,196.0,259.0,196.0,261.0,103.0,103.0,63.0,65.0,40.0,38.0
TF_01_0014.c3d,Event4,250.0,308.0,249.0,309.0,98.0,101.0,58.0,60.0,40.0,41.0
TF_01_0014.c3d,Event5,299.0,361.0,299.0,359.0,100.0,101.0,62.0,60.0,38.0,41.0
TF_01_0014.c3d,Event6,348.0,411.0,350.0,416.0,103.0,,63.0,66.0,40.0,
TF_01_0014.c3d,Event7,399.0,,400.0,,,,,,,
TF_01_0014.c3d,Event8,451.0,,,,,,,,,
TF_01_0015.c3d,Event1,150.0,212.0,151.0,219.0,103.0,105.0,62.0,68.0,41.0,37.0
TF_01_0015.c3d,Event2,203.0,265.0,203.0,266.0,103.0,104.0,62.0,63.0,41.0,41.0
TF_01_0015.c3d,Event3,253.0,316.0,256.0,317.0,105.0,104.0,63.0,61.0,42.0,43.0
TF_01_0015.c3d,Event4,306.0,370.0,307.0,369.0,105.0,104.0,64.0,62.0,41.0,42.0
TF_01_0015.c3d,Event5,358.0,420.0,360.0,422.0,106.0,104.0,62.0,62.0,44.0,42.0
TF_01_0015.c3d,Event6,411.0,474.0,411.0,474.0,105.0,106.0,63.0,63.0,42.0,43.0
TF_01_0015.c3d,Event7,464.0,,464.0,,,,,,,
TF_01_0015.c3d,Event8,516.0,,517.0,,,,,,,
TF_02_0009.c3d,Event1,249.0,320.0,251.0,322.0,120.0,120.0,71.0,71.0,49.0,49.0
TF_02_0009.c3d,Event2,310.0,382.0,311.0,381.0,123.0,123.0,72.0,70.0,51.0,53.0
TF_02_0009.c3d,Event3,369.0,444.0,371.0,445.0,123.0,124.0,75.0,74.0,48.0,50.0
TF_02_0009.c3d,Event4,433.0,506.0,434.0,505.0,122.0,123.0,73.0,71.0,49.0,52.0
TF_02_0009.c3d,Event5,492.0,,495.0,,,,,,,
TF_02_0009.c3d,Event6,555.0,,557.0,,,,,,,
TF_02_0010.c3d,Event1,167.0,244.0,166.0,249.0,127.0,130.0,77.0,83.0,50.0,47.0
TF_02_0010.c3d,Event2,229.0,305.0,233.0,306.0,128.0,128.0,76.0,73.0,52.0,55.0
TF_02_0010.c3d,Event3,294.0,371.0,296.0,370.0,125.0,128.0,77.0,74.0,48.0,54.0
TF_02_0010.c3d,Event4,357.0,432.0,361.0,433.0,125.0,125.0,75.0,72.0,50.0,53.0
TF_02_0010.c3d,Event5,419.0,,424.0,,,,,,,
TF_02_0010.c3d,Event6,482.0,,486.0,,,,,,,
TF_02_0011.c3d,Event1,243.0,316.0,245.0,318.0,124.0,124.0,73.0,73.0,51.0,51.0
TF_02_0011.c3d,Event2,305.0,381.0,306.0,395.0,128.0,128.0,76.0,89.0,52.0,39.0
TF_02_0011.c3d,Event3,367.0,444.0,369.0,444.0,124.0,124.0,77.0,75.0,47.0,49.0
TF_02_0011.c3d,Event4,433.0,504.0,434.0,503.0,119.0,120.0,71.0,69.0,48.0,51.0
TF_02_0011.c3d,Event5,491.0,,493.0,,,,,,,
TF_02_0011.c3d,Event6,552.0,,554.0,,,,,,,
TF_03_0015.c3d,Event1,54.0,119.0,57.0,120.0,107.0,105.0,65.0,63.0,42.0,42.0
TF_03_0015.c3d,Event2,108.0,170.0,110.0,171.0,105.0,104.0,62.0,61.0,43.0,43.0
TF_03_0015.c3d,Event3,161.0,222.0,162.0,224.0,104.0,104.0,61.0,62.0,43.0,42.0
TF_03_0015.c3d,Event4,213.0,275.0,214.0,286.0,106.0,107.0,62.0,72.0,44.0,35.0
TF_03_0015.c3d,Event5,265.0,330.0,266.0,332.0,106.0,107.0,65.0,66.0,41.0,41.0
TF_03_0015.c3d,Event6,319.0,381.0,321.0,394.0,105.0,105.0,62.0,73.0,43.0,32.0
TF_03_0015.c3d,Event7,371.0,435.0,373.0,436.0,107.0,106.0,64.0,63.0,43.0,43.0
TF_03_0015.c3d,Event8,424.0,,426.0,,,,,,,
TF_03_0015.c3d,Event9,478.0,,479.0,,,,,,,
TF_03_0016.c3d,Event1,33.0,92.0,35.0,85.0,97.0,96.0,59.0,50.0,38.0,46.0
TF_03_0016.c3d,Event2,78.0,140.0,81.0,141.0,103.0,102.0,62.0,60.0,41.0,42.0
TF_03_0016.c3d,Event3,130.0,193.0,131.0,194.0,107.0,106.0,63.0,63.0,44.0,43.0
TF_03_0016.c3d,Event4,181.0,246.0,183.0,245.0,109.0,107.0,65.0,62.0,44.0,45.0
TF_03_0016.c3d,Event5,237.0,297.0,237.0,298.0,102.0,103.0,60.0,61.0,42.0,42.0
TF_03_0016.c3d,Event6,290.0,349.0,290.0,361.0,101.0,101.0,59.0,71.0,42.0,30.0
TF_03_0016.c3d,Event7,339.0,400.0,340.0,414.0,103.0,103.0,61.0,74.0,42.0,29.0
TF_03_0016.c3d,Event8,391.0,,391.0,,,,,,,
TF_03_0016.c3d,Event9,442.0,,443.0,,,,,,,
